author_username,author_url,followers_count,likes_count
places,https://www.tiktok.com/@places,7300000,186400000
swiss_beautiful,https://www.tiktok.com/@swiss_beautiful,5900000,156100000
fahryy20,https://www.tiktok.com/@fahryy20,5100000,168600000
sebastian_schieren,https://www.tiktok.com/@sebastian_schieren,3900000,73800000
goturkiye,https://www.tiktok.com/@goturkiye,3800000,17500000
juliiathompson,https://www.tiktok.com/@juliiathompson,3700000,112400000
getlostwebsite,https://www.tiktok.com/@getlostwebsite,2500000,123200000
twincoast,https://www.tiktok.com/@twincoast,2300000,87100000
romania,https://www.tiktok.com/@romania,2300000,87600000
matadornetwork,https://www.tiktok.com/@matadornetwork,2200000,104900000
hamzakhanshayan,https://www.tiktok.com/@hamzakhanshayan,2100000,45500000
travelcloser,https://www.tiktok.com/@travelcloser,2000000,66599999
enteryournewreality,https://www.tiktok.com/@enteryournewreality,1900000,54700000
karenpaniaguavideos,https://www.tiktok.com/@karenpaniaguavideos,1900000,19200000
noahxboa,https://www.tiktok.com/@noahxboa,1800000,25200000
hangrybynature,https://www.tiktok.com/@hangrybynature,1800000,89100000
trip.com,https://www.tiktok.com/@trip.com,1600000,13100000
jinymaeng,https://www.tiktok.com/@jinymaeng,1600000,78000000
aureliestoryy,https://www.tiktok.com/@aureliestoryy,1600000,85500000
mama_mila_,https://www.tiktok.com/@mama_mila_,1500000,25200000
epicexploring,https://www.tiktok.com/@epicexploring,1300000,52100000
laohui6,https://www.tiktok.com/@laohui6,1300000,17900000
dalephilip,https://www.tiktok.com/@dalephilip,1200000,38500000
travelguyss,https://www.tiktok.com/@travelguyss,1100000,27600000
pitor.official,https://www.tiktok.com/@pitor.official,1000000,18500000
epic.stays,https://www.tiktok.com/@epic.stays,962200,26700000
trainpal,https://www.tiktok.com/@trainpal,921700,59700000
thedaniaustin,https://www.tiktok.com/@thedaniaustin,916600,25800000
hello_dongwon,https://www.tiktok.com/@hello_dongwon,871400,28800000
dalephilipvlogs,https://www.tiktok.com/@dalephilipvlogs,849300,29700000
kayli.kiing,https://www.tiktok.com/@kayli.kiing,813000,35300000
lifewithdaniielle,https://www.tiktok.com/@lifewithdaniielle,812700,20000000
japankatiger,https://www.tiktok.com/@japankatiger,674800,10800000
adrian.baias,https://www.tiktok.com/@adrian.baias,649700,31400000
ha_mo_udy,https://www.tiktok.com/@ha_mo_udy,589300,25600000
brokeo.168,https://www.tiktok.com/@brokeo.168,521799,9200000
healingtravelscenery,https://www.tiktok.com/@healingtravelscenery,516400,8500000
victorias.way,https://www.tiktok.com/@victorias.way,471000,34900000
haylsa,https://www.tiktok.com/@haylsa,432200,45900000
gladextours,https://www.tiktok.com/@gladextours,396400,11400000
travel.expectations,https://www.tiktok.com/@travel.expectations,377600,9700000
shearingshedvlogs,https://www.tiktok.com/@shearingshedvlogs,377000,23800000
digital_zoo,https://www.tiktok.com/@digital_zoo,367000,15300000
i.wonderalot,https://www.tiktok.com/@i.wonderalot,360900,7000000
luxurylife._2023,https://www.tiktok.com/@luxurylife._2023,342100,3100000
elitevacays,https://www.tiktok.com/@elitevacays,337800,11800000
vacations,https://www.tiktok.com/@vacations,318500,9300000
ethoventures,https://www.tiktok.com/@ethoventures,299400,6600000
aktravelss,https://www.tiktok.com/@aktravelss,293700,15700000
chdanishofficial,https://www.tiktok.com/@chdanishofficial,289300,7900000
pedzulkefli,https://www.tiktok.com/@pedzulkefli,280100,12800000
backpackerjomblo_,https://www.tiktok.com/@backpackerjomblo_,275600,21300000
vikihalmosii,https://www.tiktok.com/@vikihalmosii,264200,22300000
flyairasia,https://www.tiktok.com/@flyairasia,263800,3100000
hikingwithhollywood,https://www.tiktok.com/@hikingwithhollywood,262500,2500000
kimberlyerind,https://www.tiktok.com/@kimberlyerind,258100,13700000
mike_p____,https://www.tiktok.com/@mike_p____,243400,23300000
whosthatbitxh,https://www.tiktok.com/@whosthatbitxh,234700,32200000
luxetravelcouple,https://www.tiktok.com/@luxetravelcouple,230900,7600000
jessmelu,https://www.tiktok.com/@jessmelu,220300,4300000
itsmarianavelez,https://www.tiktok.com/@itsmarianavelez,218200,5600000
loulouexplores,https://www.tiktok.com/@loulouexplores,204200,13800000
bradenjstanley,https://www.tiktok.com/@bradenjstanley,202900,9100000
mddyelrck,https://www.tiktok.com/@mddyelrck,195100,11000000
umutdxb,https://www.tiktok.com/@umutdxb,189500,2400000
silkyrontheroad,https://www.tiktok.com/@silkyrontheroad,178900,5100000
grinnerzz,https://www.tiktok.com/@grinnerzz,178500,10600000
postcardsfromayana,https://www.tiktok.com/@postcardsfromayana,176900,10500000
,https://www.tiktok.com/@banyuwangi24jamofficial,162100,7400000
jubaer_talukder,https://www.tiktok.com/@jubaer_talukder,158400,2500000
seedyishcat,https://www.tiktok.com/@seedyishcat,150700,11500000
kakitravel.net,https://www.tiktok.com/@kakitravel.net,144300,1100000
leyshaa,https://www.tiktok.com/@leyshaa,141700,7000000
olivia.engstrom,https://www.tiktok.com/@olivia.engstrom,130699,4099999
.adviiceb4e,https://www.tiktok.com/@.adviiceb4e,124100,2400000
rossanateguia,https://www.tiktok.com/@rossanateguia,124100,1300000
infatuatedtravel,https://www.tiktok.com/@infatuatedtravel,120000,3850000
kashmiri_shuvo,https://www.tiktok.com/@kashmiri_shuvo,116300,2900000
treeptips,https://www.tiktok.com/@treeptips,110700,4900000
terlouwjlr,https://www.tiktok.com/@terlouwjlr,101500,2700000
nihab_rahman,https://www.tiktok.com/@nihab_rahman,100900,2000000
twosometravellers,https://www.tiktok.com/@twosometravellers,100400,5600000
